site_int_num	arodes_int_num	prot_site_cd	prot_site_state	a_year
703	1704015135	91E0	C	2023
1486	1704015165	9170	C	2023
166	1704015202	9170	C	2023
237	1704015220	9170	C	2023
1201	1704015220	91E0	C	2023
536	1704015222	9170	B	2023
1351	1704015230	9170	C	2023
747	1704015231	9170	C	2023
155	1704015270	9170	B	2023
197	1704015275	91F0	C	2023
1445	1704015313	9170	C	2023
519	1704015337	9170	C	2023
517	1704015338	9170	B	2023
405	1704015353	91E0	C	2023
1463	1704015464	9190	B	2023
903	1704015516	9170	C	2023
1456	1704015538	9170	C	2023
178	1704015565	9170	C	2023
177	1704015566	9170	C	2023
943	1704015567	91E0	A	2023
941	1704015568	91E0	C	2023
974	1704015570	91E0	C	2023
1133	1704015586	9170	C	2023
1317	1704015833	91E0	A	2023
705	1704015835	91D0	C	2023
728	1704015843	91E0	B	2023
778	1704015857	9170	C	2023
794	1704015859	9170	C	2023
796	1704015860	9170	C	2023
797	1704015861	9170	C	2023
