arodes_int_num	a_year	density_cd	mixture_cd	standdensity_index	tree_stock_cd	st_rank_order_act	storey_cd
1704000486	2023			0.7		2	PODSZ   
1704000514	2023	UM  	KĘP 	0.9	UM DUŻE	1	DRZEW   
1704000514	2023			0.6		2	PODSZ   
1704000516	2023	UM  	GRP 	0.7	UM PRZ 	1	DRZEW   
1704000516	2023			0.8		2	PODSZ   
1704000518	2023	UM  	GRP 	0.8	UM PRZ 	1	DRZEW   
1704000518	2023			0.7		2	PODSZ   
1704000520	2023	PRZ 	DKĘP	0.7	PRZ UM 	1	DRZEW   
1704000520	2023			0.6		2	PODSZ   
1704000522	2023	UM  	GRP 	1.0	UM PRZ 	1	DRZEW   
1704000522	2023			0.6		2	PODSZ   
1704000525	2023	PEŁ 	KĘP 	0.9	DUŻE   	1	DRZEW   
1704000525	2023			0.4		2	PODSZ   
1704000527	2023	UM  	GRP 	0.8	UM PRZ 	1	DRZEW   
1704000527	2023			0.8		2	PODSZ   
1704000529	2023	UM  	GRP 	0.8	UM PRZ 	1	DRZEW   
1704000529	2023			0.8		2	PODSZ   
1704000531	2023	UM  	GRP 	0.5	UM PRZ 	1	DRZEW   
1704000531	2023			0.6		2	PODR    
1704000531	2023			0.6		3	PODSZ   
1704000533	2023	PRZ 	GRP 	0.7	PRZ UM 	1	DRZEW   
1704000533	2023			0.8		2	PODSZ   
